SEMANA,SST,SS,VPD,ATC,PTC,OP,OPC,SST-OPC,SST-SS,SS-VPD,SS-ATC,VPD-ATC,ATC-PTC,PTC-OP,OP-OPC
4/1/2024,64095,49396,25241,25901,22632,14998,7806,12%,77%,51%,52%,103%,87%,66%,52%
4/8/2024,62317,48742,23671,24335,21124,14139,7399,12%,78%,49%,50%,103%,87%,67%,52%
4/15/2024,60115,46705,23046,23386,20207,13564,7255,12%,78%,49%,50%,101%,86%,67%,53%
4/22/2024,61922,47391,24091,24138,20737,14071,7460,12%,77%,51%,51%,100%,86%,68%,53%
4/29/2024,64072,48083,24637,25041,21683,14592,7604,12%,75%,51%,52%,102%,87%,67%,52%
5/6/2024,55737,41361,20140,20137,17351,11733,6554,12%,74%,49%,49%,100%,86%,68%,56%
5/13/2024,61441,47428,23060,23449,20159,13739,7675,12%,77%,49%,49%,102%,86%,68%,56%
5/20/2024,64642,49077,23953,23608,20149,13490,7498,12%,76%,49%,48%,99%,85%,67%,56%
5/27/2024,68048,50424,24393,23956,20342,13222,7596,11%,74%,48%,48%,98%,85%,65%,57%
6/3/2024,60808,45374,22623,21608,18341,12035,7151,12%,75%,50%,48%,96%,85%,66%,59%
6/10/2024,63540,47652,23208,22970,19381,12956,7368,12%,75%,49%,48%,99%,84%,67%,57%